"Date","Price","Open","High","Low","Vol.","Change %"
"10-07-2024","83.504","83.491","83.537","83.477","","0.05%"
"09-07-2024","83.465","83.479","83.522","83.452","","-0.04%"
"08-07-2024","83.500","83.495","83.522","83.434","","0.00%"
"05-07-2024","83.500","83.503","83.532","83.458","","0.03%"
"04-07-2024","83.475","83.495","83.561","83.463","","-0.05%"
"03-07-2024","83.520","83.497","83.564","83.435","","0.02%"
"02-07-2024","83.500","83.440","83.567","83.422","","0.07%"
"01-07-2024","83.438","83.380","83.479","83.349","","0.10%"
"28-06-2024","83.355","83.458","83.492","83.329","","-0.10%"
"27-06-2024","83.438","83.579","83.596","83.408","","-0.15%"
"26-06-2024","83.560","83.452","83.632","83.413","","0.19%"
"25-06-2024","83.403","83.439","83.510","83.394","","-0.06%"
"24-06-2024","83.450","83.563","83.590","83.410","","-0.13%"
"21-06-2024","83.558","83.654","83.654","83.484","","-0.07%"
"20-06-2024","83.620","83.422","83.684","83.417","","0.19%"
"19-06-2024","83.460","83.394","83.491","83.340","","0.16%"
"18-06-2024","83.330","83.498","83.560","83.322","","-0.20%"
"17-06-2024","83.500","83.523","83.567","83.503","","-0.06%"
"14-06-2024","83.547","83.546","83.593","83.514","","0.01%"
"13-06-2024","83.540","83.507","83.575","83.487","","0.13%"
"12-06-2024","83.430","83.618","83.622","83.433","","-0.20%"
"11-06-2024","83.600","83.521","83.639","83.480","","0.12%"
"10-06-2024","83.500","83.530","83.551","83.468","","-0.03%"
"07-06-2024","83.521","83.472","83.529","83.365","","0.07%"
"06-06-2024","83.466","83.390","83.527","83.357","","0.11%"
"05-06-2024","83.370","83.539","83.585","83.277","","-0.18%"
"04-06-2024","83.524","83.120","83.676","83.085","","0.53%"
"03-06-2024","83.083","83.124","83.188","82.952","","-0.41%"
"31-05-2024","83.424","83.321","83.501","83.235","","0.17%"
"30-05-2024","83.280","83.363","83.442","83.246","","-0.07%"
"29-05-2024","83.340","83.197","83.411","83.172","","0.22%"
"28-05-2024","83.160","83.137","83.209","83.103","","0.07%"
"27-05-2024","83.102","83.070","83.147","83.034","","0.05%"
"24-05-2024","83.060","83.285","83.300","83.018","","-0.22%"
"23-05-2024","83.240","83.286","83.322","83.190","","0.02%"
"22-05-2024","83.220","83.324","83.328","83.210","","-0.04%"
"21-05-2024","83.250","83.297","83.373","83.226","","-0.04%"
"20-05-2024","83.280","83.302","83.328","83.224","","0.00%"
"17-05-2024","83.280","83.511","83.520","83.273","","-0.20%"
"16-05-2024","83.450","83.420","83.524","83.404","","0.05%"
"15-05-2024","83.411","83.503","83.529","83.409","","-0.08%"
"14-05-2024","83.482","83.529","83.550","83.472","","0.03%"
"13-05-2024","83.460","83.526","83.566","83.465","","-0.10%"
"10-05-2024","83.541","83.453","83.560","83.446","","0.12%"
"09-05-2024","83.441","83.476","83.527","83.432","","-0.03%"
"08-05-2024","83.462","83.466","83.535","83.449","","0.00%"
"07-05-2024","83.458","83.473","83.529","83.432","","-0.02%"
"06-05-2024","83.475","83.380","83.603","83.380","","0.12%"
"03-05-2024","83.376","83.420","83.482","83.308","","-0.07%"
"02-05-2024","83.435","83.430","83.503","83.401","","-0.02%"
"01-05-2024","83.455","83.474","83.532","83.446","","0.01%"
"30-04-2024","83.450","83.459","83.537","83.397","","0.05%"
"29-04-2024","83.410","83.385","83.513","83.352","","0.01%"
"26-04-2024","83.400","83.268","83.422","83.267","","0.11%"
"25-04-2024","83.310","83.338","83.402","83.255","","-0.01%"
"24-04-2024","83.319","83.280","83.362","83.257","","0.06%"
"23-04-2024","83.269","83.384","83.407","83.260","","-0.11%"
"22-04-2024","83.360","83.423","83.457","83.306","","0.00%"
"19-04-2024","83.358","83.548","83.721","83.362","","-0.21%"
"18-04-2024","83.530","83.590","83.605","83.487","","-0.14%"
"17-04-2024","83.650","83.673","83.747","83.589","","0.02%"
"16-04-2024","83.637","83.534","83.700","83.469","","0.18%"
"15-04-2024","83.484","83.481","83.544","83.413","","-0.07%"
"12-04-2024","83.540","83.368","83.622","83.316","","0.26%"
"11-04-2024","83.324","83.413","83.438","83.295","","-0.08%"
"10-04-2024","83.389","83.227","83.426","83.147","","0.25%"
"09-04-2024","83.182","83.271","83.291","83.166","","-0.11%"
"08-04-2024","83.270","83.344","83.352","83.225","","-0.03%"
"05-04-2024","83.293","83.417","83.471","83.241","","-0.06%"
"04-04-2024","83.340","83.478","83.513","83.350","","-0.20%"
"03-04-2024","83.504","83.375","83.585","83.330","","0.22%"
"02-04-2024","83.322","83.374","83.448","83.330","","-0.05%"
"01-04-2024","83.360","83.343","83.408","83.310","","0.01%"
"29-03-2024","83.350","83.391","83.399","83.335","","0.00%"
"28-03-2024","83.352","83.373","83.424","83.310","","0.07%"
"27-03-2024","83.294","83.365","83.480","83.291","","-0.02%"
"26-03-2024","83.309","83.415","83.441","83.254","","-0.12%"
"25-03-2024","83.405","83.465","83.548","83.384","","-0.21%"
"22-03-2024","83.582","83.232","83.733","83.206","","0.49%"
"21-03-2024","83.174","83.117","83.235","83.034","","0.00%"
"20-03-2024","83.173","83.053","83.233","82.990","","0.20%"
"19-03-2024","83.007","82.935","83.063","82.899","","0.13%"
"18-03-2024","82.900","82.891","82.935","82.825","","0.02%"
"15-03-2024","82.883","82.990","82.995","82.817","","-0.04%"
"14-03-2024","82.915","82.827","82.952","82.803","","0.11%"
"13-03-2024","82.820","82.830","82.923","82.774","","0.04%"
"12-03-2024","82.786","82.739","82.839","82.720","","0.08%"
"11-03-2024","82.720","82.754","82.782","82.645","","-0.02%"
"08-03-2024","82.739","82.713","82.770","82.660","","0.04%"
"07-03-2024","82.708","82.820","82.850","82.669","","-0.09%"
"06-03-2024","82.780","82.896","82.919","82.801","","-0.13%"
"05-03-2024","82.891","82.913","82.938","82.863","","-0.02%"
"04-03-2024","82.911","82.845","82.935","82.830","","0.08%"
"01-03-2024","82.841","82.926","82.933","82.836","","-0.07%"
"29-02-2024","82.900","82.910","82.957","82.864","","0.00%"
"28-02-2024","82.900","82.924","82.967","82.863","","0.03%"
"27-02-2024","82.877","82.901","82.921","82.841","","0.04%"
"26-02-2024","82.846","82.873","82.914","82.851","","-0.02%"
"23-02-2024","82.859","82.845","82.965","82.845","","0.03%"
"22-02-2024","82.837","82.933","82.965","82.812","","-0.11%"
"21-02-2024","82.930","82.895","82.983","82.835","","0.05%"
"20-02-2024","82.890","83.031","83.043","82.862","","-0.16%"
"19-02-2024","83.026","82.987","83.061","82.949","","0.02%"
"16-02-2024","83.013","82.991","83.049","82.983","","0.03%"
"15-02-2024","82.988","83.035","83.075","82.982","","-0.06%"
"14-02-2024","83.034","83.104","83.120","83.015","","-0.08%"
"13-02-2024","83.098","83.008","83.121","82.963","","0.15%"
"12-02-2024","82.970","83.025","83.057","82.951","","-0.04%"
"09-02-2024","83.000","82.984","83.059","82.945","","0.03%"
"08-02-2024","82.978","82.981","83.021","82.893","","0.00%"
"07-02-2024","82.977","83.070","83.091","82.934","","-0.10%"
"06-02-2024","83.062","83.044","83.079","83.015","","0.03%"
"05-02-2024","83.036","83.011","83.095","82.956","","0.04%"
"02-02-2024","82.999","82.952","83.027","82.826","","0.06%"
"01-02-2024","82.947","83.083","83.091","82.915","","-0.18%"
"31-01-2024","83.095","83.100","83.132","82.998","","-0.03%"
"30-01-2024","83.120","83.136","83.177","83.087","","-0.02%"
"29-01-2024","83.134","83.149","83.173","83.118","","0.02%"
"26-01-2024","83.115","83.170","83.173","83.079","","-0.03%"
"25-01-2024","83.144","83.141","83.177","83.077","","0.02%"
"24-01-2024","83.130","83.164","83.184","83.067","","-0.02%"
"23-01-2024","83.150","83.096","83.188","83.061","","0.06%"
"22-01-2024","83.100","83.077","83.185","83.059","","0.02%"
"19-01-2024","83.086","83.187","83.192","83.036","","-0.09%"
"18-01-2024","83.165","83.197","83.205","83.098","","-0.02%"
"17-01-2024","83.182","83.085","83.217","83.035","","0.12%"
"16-01-2024","83.084","82.832","83.150","82.829","","0.31%"
"15-01-2024","82.827","82.835","82.929","82.775","","-0.04%"
"12-01-2024","82.857","83.068","83.104","82.779","","-0.25%"
"11-01-2024","83.063","83.004","83.121","82.930","","0.05%"
"10-01-2024","83.023","83.113","83.185","82.959","","-0.10%"
"09-01-2024","83.109","83.053","83.149","83.029","","0.08%"
"08-01-2024","83.045","83.124","83.178","83.026","","-0.07%"
"05-01-2024","83.103","83.235","83.286","83.067","","-0.17%"
"04-01-2024","83.243","83.294","83.335","83.195","","-0.05%"
"03-01-2024","83.282","83.279","83.348","83.244","","0.01%"
"02-01-2024","83.270","83.179","83.359","83.179","","0.04%"
"01-01-2024","83.238","83.240","83.243","83.150","","0.06%"
"29-12-2023","83.190","83.174","83.242","83.099","","0.03%"
"28-12-2023","83.169","83.268","83.318","83.125","","-0.11%"
"27-12-2023","83.263","83.163","83.368","83.163","","0.13%"
"26-12-2023","83.158","83.169","83.218","83.105","","-0.01%"
"25-12-2023","83.164","83.179","83.179","83.109","","0.00%"
"22-12-2023","83.166","83.221","83.275","83.102","","-0.06%"
"21-12-2023","83.214","83.166","83.291","83.156","","0.09%"
"20-12-2023","83.139","83.111","83.237","83.087","","0.04%"
"19-12-2023","83.106","83.153","83.228","83.070","","-0.05%"
"18-12-2023","83.144","83.018","83.173","82.910","","0.15%"
"15-12-2023","83.020","83.308","83.332","82.927","","-0.34%"
"14-12-2023","83.307","83.287","83.372","83.266","","-0.05%"
"13-12-2023","83.350","83.399","83.438","83.346","","-0.06%"
"12-12-2023","83.396","83.368","83.434","83.324","","0.06%"
"11-12-2023","83.350","83.409","83.451","83.349","","-0.09%"
"08-12-2023","83.425","83.354","83.465","83.335","","0.10%"
"07-12-2023","83.343","83.337","83.398","83.311","","0.01%"
"06-12-2023","83.332","83.325","83.381","83.286","","0.01%"
"05-12-2023","83.320","83.431","83.439","83.317","","-0.13%"
"04-12-2023","83.426","83.217","83.461","83.215","","0.20%"
"01-12-2023","83.260","83.356","83.375","83.240","","-0.12%"
"30-11-2023","83.357","83.359","83.419","83.290","","0.01%"
"29-11-2023","83.352","83.292","83.383","83.260","","0.01%"
"28-11-2023","83.340","83.358","83.399","83.292","","0.01%"
"27-11-2023","83.330","83.324","83.433","83.309","","-0.01%"
"24-11-2023","83.340","83.350","83.413","83.332","","0.04%"
"23-11-2023","83.305","83.276","83.368","83.265","","0.02%"
"22-11-2023","83.287","83.313","83.359","83.255","","-0.03%"
"21-11-2023","83.308","83.321","83.380","83.228","","-0.01%"
"20-11-2023","83.317","83.265","83.424","83.230","","0.09%"
"17-11-2023","83.244","83.161","83.303","83.161","","0.11%"
"16-11-2023","83.152","83.186","83.273","83.153","","-0.04%"
"15-11-2023","83.188","82.980","83.213","82.962","","0.26%"
"14-11-2023","82.973","83.209","83.278","82.906","","-0.25%"
"13-11-2023","83.180","83.309","83.343","83.201","","-0.15%"
"10-11-2023","83.309","83.302","83.499","83.224","","-0.01%"
"09-11-2023","83.315","83.232","83.341","83.216","","0.12%"
"08-11-2023","83.213","83.234","83.310","83.208","","-0.02%"
"07-11-2023","83.230","83.221","83.287","83.210","","0.01%"
"06-11-2023","83.218","83.107","83.263","83.085","","0.09%"
"03-11-2023","83.140","83.247","83.311","83.134","","-0.11%"
"02-11-2023","83.234","83.240","83.281","83.174","","0.00%"
"01-11-2023","83.237","83.278","83.337","83.225","","-0.02%"
"31-10-2023","83.256","83.260","83.293","83.221","","0.01%"
"30-10-2023","83.250","83.280","83.305","83.212","","-0.02%"
"27-10-2023","83.265","83.272","83.301","83.190","","0.03%"
"26-10-2023","83.243","83.163","83.269","83.131","","0.12%"
"25-10-2023","83.140","83.022","83.205","83.008","","0.16%"
"24-10-2023","83.010","83.031","83.102","82.956","","-0.07%"
"23-10-2023","83.071","83.160","83.206","83.085","","-0.10%"
"20-10-2023","83.150","83.150","83.216","83.012","","0.06%"
"19-10-2023","83.097","83.284","83.306","83.082","","-0.23%"
"18-10-2023","83.290","83.255","83.310","83.211","","0.06%"
"17-10-2023","83.240","83.215","83.289","83.186","","0.06%"
"16-10-2023","83.190","83.264","83.296","83.183","","-0.08%"
"13-10-2023","83.255","83.250","83.297","83.211","","-0.04%"
"12-10-2023","83.290","83.175","83.302","83.125","","0.16%"
"11-10-2023","83.160","83.217","83.246","83.116","","0.00%"
"10-10-2023","83.162","83.266","83.282","83.170","","-0.11%"
"09-10-2023","83.254","83.187","83.348","83.162","","0.16%"
"06-10-2023","83.118","83.218","83.303","83.121","","-0.10%"
"05-10-2023","83.200","83.214","83.305","83.178","","-0.06%"
"04-10-2023","83.250","83.235","83.346","83.173","","0.04%"
"03-10-2023","83.214","83.233","83.271","83.127","","0.05%"
"02-10-2023","83.174","83.165","83.234","83.123","","0.17%"
"29-09-2023","83.030","83.209","83.209","83.012","","-0.14%"
"28-09-2023","83.150","83.237","83.273","83.111","","-0.04%"
"27-09-2023","83.181","83.297","83.312","83.153","","-0.06%"
"26-09-2023","83.230","83.122","83.309","83.099","","0.12%"
"25-09-2023","83.130","83.057","83.179","83.029","","0.19%"
"22-09-2023","82.970","82.876","82.993","82.769","","-0.16%"
"21-09-2023","83.102","83.193","83.222","83.005","","0.22%"
"20-09-2023","82.920","83.261","83.297","82.924","","-0.47%"
"19-09-2023","83.310","83.250","83.344","83.170","","0.05%"
"18-09-2023","83.270","83.106","83.360","83.085","","0.24%"
"15-09-2023","83.069","83.063","83.202","82.981","","0.07%"
"14-09-2023","83.010","82.915","83.101","82.913","","0.09%"
"13-09-2023","82.934","82.873","83.039","82.855","","0.10%"
"12-09-2023","82.850","82.905","83.015","82.853","","-0.06%"
"11-09-2023","82.900","82.955","83.068","82.815","","-0.13%"
"08-09-2023","83.004","83.133","83.184","82.902","","-0.18%"
"07-09-2023","83.150","83.220","83.271","83.076","","-0.06%"
"06-09-2023","83.197","83.075","83.258","82.986","","0.20%"
"05-09-2023","83.033","82.753","83.097","82.712","","0.38%"
"04-09-2023","82.715","82.670","82.785","82.650","","0.03%"
"01-09-2023","82.689","82.647","82.784","82.576","","-0.02%"
"31-08-2023","82.702","82.678","82.799","82.582","","0.11%"
"30-08-2023","82.607","82.593","82.819","82.568","","0.04%"
"29-08-2023","82.574","82.646","82.842","82.576","","-0.03%"
"28-08-2023","82.600","82.585","82.662","82.527","","-0.04%"
"25-08-2023","82.637","82.605","82.740","82.532","","0.07%"
"24-08-2023","82.580","82.579","82.646","82.359","","0.09%"
"23-08-2023","82.508","83.082","83.090","82.449","","-0.64%"
"22-08-2023","83.040","83.113","83.122","82.909","","-0.06%"
"21-08-2023","83.090","83.193","83.217","83.021","","-0.06%"
"18-08-2023","83.140","83.086","83.221","83.018","","0.00%"
"17-08-2023","83.140","83.224","83.262","82.991","","-0.10%"
"16-08-2023","83.222","83.243","83.428","83.077","","-0.02%"
"15-08-2023","83.239","83.208","83.468","83.177","","0.07%"
"14-08-2023","83.180","82.877","83.292","82.877","","0.34%"
"11-08-2023","82.898","82.811","82.911","82.737","","0.31%"
"10-08-2023","82.644","82.839","82.880","82.590","","-0.27%"
"09-08-2023","82.871","82.877","82.880","82.797","","-0.01%"
"08-08-2023","82.880","82.760","82.984","82.760","","0.12%"
"07-08-2023","82.778","82.740","82.785","82.689","","0.10%"
"04-08-2023","82.696","82.762","82.892","82.674","","-0.07%"
"03-08-2023","82.755","82.699","82.815","82.665","","0.02%"
"02-08-2023","82.735","82.330","82.788","82.313","","0.47%"
"01-08-2023","82.345","82.235","82.345","82.205","","0.12%"
"31-07-2023","82.245","82.203","82.301","82.203","","-0.01%"
"28-07-2023","82.253","82.178","82.377","82.178","","0.12%"
"27-07-2023","82.155","81.929","82.234","81.869","","0.24%"
"26-07-2023","81.955","81.876","82.068","81.855","","0.12%"
"25-07-2023","81.855","81.799","81.904","81.667","","0.07%"
"24-07-2023","81.795","82.010","82.045","81.778","","-0.24%"
"21-07-2023","81.990","82.074","82.088","81.922","","-0.11%"
"20-07-2023","82.080","82.044","82.080","81.897","","0.03%"
"19-07-2023","82.055","82.062","82.158","82.015","","-0.01%"
"18-07-2023","82.065","82.040","82.093","81.957","","0.02%"
"17-07-2023","82.050","82.132","82.215","81.979","","-0.03%"
"14-07-2023","82.077","82.011","82.215","81.943","","0.03%"
"13-07-2023","82.050","81.982","82.150","81.952","","0.08%"
"12-07-2023","81.985","82.392","82.400","81.945","","-0.50%"
"11-07-2023","82.395","82.526","82.551","82.322","","-0.16%"
"10-07-2023","82.525","82.645","82.689","82.515","","-0.11%"
"07-07-2023","82.615","82.763","82.764","82.522","","-0.18%"
"06-07-2023","82.766","82.391","82.818","82.293","","0.44%"
"05-07-2023","82.403","82.023","82.413","81.995","","0.52%"
"04-07-2023","81.974","81.978","82.059","81.892","","0.04%"
"03-07-2023","81.945","82.036","82.058","81.755","","-0.18%"
"30-06-2023","82.096","82.075","82.128","81.991","","-0.01%"
"29-06-2023","82.105","82.012","82.121","81.978","","0.09%"
"28-06-2023","82.030","81.971","82.091","81.969","","0.02%"
"27-06-2023","82.011","82.029","82.059","81.942","","0.04%"
"26-06-2023","81.975","81.950","82.071","81.935","","-0.01%"
"23-06-2023","81.985","81.912","82.083","81.912","","0.03%"
"22-06-2023","81.960","81.941","82.010","81.875","","0.02%"
"21-06-2023","81.940","81.981","82.140","81.940","","-0.08%"
"20-06-2023","82.005","81.915","82.173","81.915","","0.11%"
"19-06-2023","81.915","81.976","82.013","81.867","","0.00%"
"16-06-2023","81.915","81.913","82.025","81.825","","0.01%"
"15-06-2023","81.905","82.045","82.260","81.905","","-0.07%"
"14-06-2023","81.960","82.231","82.335","81.898","","-0.34%"
"13-06-2023","82.240","82.384","82.481","82.146","","-0.21%"
"12-06-2023","82.415","82.458","82.517","82.415","","-0.04%"
"09-06-2023","82.445","82.505","82.507","82.396","","-0.09%"
"08-06-2023","82.516","82.641","82.641","82.493","","0.01%"
"07-06-2023","82.510","82.510","82.584","82.450","","-0.01%"
"06-06-2023","82.515","82.511","82.655","82.472","","-0.01%"
"05-06-2023","82.525","82.434","82.685","82.394","","0.15%"
"02-06-2023","82.403","82.271","82.424","82.257","","0.15%"
"01-06-2023","82.277","82.672","82.674","82.268","","-0.50%"
"31-05-2023","82.690","82.629","82.777","82.610","","0.00%"
"30-05-2023","82.692","82.554","82.815","82.554","","0.09%"
"29-05-2023","82.614","82.589","82.703","82.534","","0.05%"
"26-05-2023","82.575","82.745","82.745","82.522","","-0.20%"
"25-05-2023","82.742","82.678","82.809","82.653","","0.08%"
"24-05-2023","82.675","82.855","82.886","82.564","","-0.19%"
"23-05-2023","82.835","82.825","82.876","82.743","","-0.01%"
"22-05-2023","82.845","82.798","82.895","82.727","","-0.07%"
"19-05-2023","82.905","82.770","82.953","82.632","","0.22%"
"18-05-2023","82.725","82.443","82.778","82.347","","0.39%"
"17-05-2023","82.405","82.248","82.447","82.248","","0.14%"
"16-05-2023","82.291","82.237","82.319","82.181","","0.03%"
"15-05-2023","82.267","82.249","82.402","82.207","","0.08%"
"12-05-2023","82.201","82.127","82.252","82.118","","0.12%"
"11-05-2023","82.100","81.919","82.190","81.887","","0.21%"
"10-05-2023","81.925","82.125","82.125","81.882","","-0.24%"
"09-05-2023","82.125","81.782","82.175","81.779","","0.42%"
"08-05-2023","81.780","81.692","81.835","81.654","","0.07%"
"05-05-2023","81.725","81.719","81.835","81.671","","0.00%"
"04-05-2023","81.725","81.749","81.832","81.663","","-0.07%"
"03-05-2023","81.780","81.785","81.887","81.670","","0.01%"
"02-05-2023","81.770","81.810","81.965","81.720","","-0.02%"
"01-05-2023","81.790","81.810","81.818","81.720","","0.06%"
"28-04-2023","81.745","81.735","81.875","81.719","","0.04%"
"27-04-2023","81.715","81.733","81.868","81.596","","-0.06%"
"26-04-2023","81.760","81.995","82.033","81.683","","-0.28%"
"25-04-2023","81.990","81.891","82.055","81.869","","0.04%"
"24-04-2023","81.960","82.078","82.117","81.850","","-0.12%"
"21-04-2023","82.055","82.145","82.220","82.011","","-0.10%"
"20-04-2023","82.140","82.319","82.359","82.043","","-0.17%"
"19-04-2023","82.280","82.084","82.280","82.053","","0.21%"
"18-04-2023","82.105","82.015","82.125","81.959","","0.12%"
"17-04-2023","82.005","81.913","82.094","81.864","","0.20%"
"14-04-2023","81.845","81.699","81.945","81.567","","0.21%"
"13-04-2023","81.675","82.018","82.035","81.631","","-0.35%"
"12-04-2023","81.960","82.089","82.133","81.940","","-0.13%"
"11-04-2023","82.070","81.968","82.175","81.942","","0.10%"
"10-04-2023","81.985","81.838","82.045","81.772","","0.12%"
"07-04-2023","81.885","81.827","81.915","81.785","","0.05%"
"06-04-2023","81.840","81.958","82.075","81.810","","-0.13%"
"05-04-2023","81.945","82.119","82.225","81.841","","-0.20%"
"04-04-2023","82.110","82.234","82.294","82.075","","-0.12%"
"03-04-2023","82.205","82.377","82.487","82.185","","0.02%"
"31-03-2023","82.185","82.083","82.290","82.055","","0.10%"
"30-03-2023","82.100","82.253","82.294","82.029","","-0.13%"
"29-03-2023","82.206","82.187","82.398","82.187","","0.01%"
"28-03-2023","82.200","82.194","82.303","82.112","","0.00%"
"27-03-2023","82.200","82.365","82.445","82.200","","-0.17%"
"24-03-2023","82.339","82.243","82.510","82.194","","0.09%"
"23-03-2023","82.265","82.528","82.555","82.056","","-0.32%"
"22-03-2023","82.525","82.692","82.739","82.395","","-0.22%"
"21-03-2023","82.704","82.542","82.733","82.542","","0.21%"
"20-03-2023","82.530","82.510","82.725","82.468","","-0.01%"
"17-03-2023","82.540","82.609","82.694","82.434","","-0.10%"
"16-03-2023","82.625","82.755","82.830","82.582","","-0.34%"
"15-03-2023","82.907","82.288","82.919","82.225","","0.79%"
"14-03-2023","82.260","82.287","82.567","82.241","","0.00%"
"13-03-2023","82.263","81.700","82.312","81.700","","0.36%"
"10-03-2023","81.965","82.026","82.194","81.821","","-0.07%"
"09-03-2023","82.025","81.943","82.065","81.762","","0.09%"
"08-03-2023","81.955","82.012","82.300","81.837","","-0.09%"
"07-03-2023","82.025","81.872","82.025","81.737","","0.26%"
"06-03-2023","81.815","81.754","81.955","81.595","","0.13%"
"03-03-2023","81.710","82.361","82.425","81.710","","-0.78%"
"02-03-2023","82.355","82.415","82.623","82.355","","-0.10%"
"01-03-2023","82.435","82.588","82.628","82.365","","-0.25%"
"28-02-2023","82.645","82.666","82.761","82.532","","-0.01%"
"27-02-2023","82.652","82.867","82.958","82.609","","-0.33%"
"24-02-2023","82.925","82.644","83.027","82.643","","0.37%"
"23-02-2023","82.618","82.797","82.857","82.561","","-0.26%"
"22-02-2023","82.835","82.844","82.914","82.767","","-0.02%"
"21-02-2023","82.849","82.670","82.869","82.670","","0.15%"
"20-02-2023","82.721","82.719","82.767","82.612","","-0.05%"
"17-02-2023","82.765","82.698","82.865","82.698","","0.06%"
"16-02-2023","82.715","82.695","82.823","82.589","","-0.06%"
"15-02-2023","82.765","82.852","82.969","82.765","","-0.18%"
"14-02-2023","82.915","82.597","83.024","82.556","","0.39%"
"13-02-2023","82.597","82.557","82.775","82.557","","0.09%"
"10-02-2023","82.520","82.516","82.648","82.320","","-0.02%"
"09-02-2023","82.540","82.681","82.699","82.403","","-0.14%"
"08-02-2023","82.655","82.734","82.757","82.467","","-0.26%"
"07-02-2023","82.870","82.760","82.888","82.612","","0.15%"
"06-02-2023","82.750","82.393","82.832","82.321","","0.63%"
"03-02-2023","82.233","82.066","82.338","81.754","","0.23%"
"02-02-2023","82.044","81.687","82.250","81.685","","0.35%"
"01-02-2023","81.757","81.764","82.053","81.698","","-0.01%"
"31-01-2023","81.769","81.599","82.099","81.575","","0.30%"
"30-01-2023","81.525","81.526","81.725","81.436","","0.01%"
"27-01-2023","81.515","81.487","81.677","81.470","","0.09%"
"26-01-2023","81.445","81.529","81.588","81.355","","-0.09%"
"25-01-2023","81.519","81.624","81.803","81.499","","-0.10%"
"24-01-2023","81.599","81.488","81.770","81.398","","0.14%"
"23-01-2023","81.483","80.908","81.493","80.864","","0.62%"
"20-01-2023","80.984","81.257","81.305","80.961","","-0.32%"
"19-01-2023","81.245","81.435","81.445","81.207","","-0.25%"
"18-01-2023","81.445","81.655","81.830","81.141","","-0.23%"
"17-01-2023","81.635","81.685","81.893","81.524","","-0.03%"
"16-01-2023","81.656","81.249","81.763","81.219","","0.46%"
"13-01-2023","81.285","81.115","81.500","81.115","","0.22%"
"12-01-2023","81.110","81.662","81.753","81.110","","-0.65%"
"11-01-2023","81.642","81.606","81.820","81.478","","0.01%"
"10-01-2023","81.630","82.208","82.338","81.605","","-0.67%"
"09-01-2023","82.180","82.216","82.452","82.100","","-0.12%"
